Wellbore name,Date of Production,q_oil,q_gas,q_wat,q_liq,WC,GOR,AVG_WHP_P,AVG_WHT_P,AVG_DOWNHOLE_TEMPERATURE,AVG_CHOKE_SIZE_P,ON_STREAM_HRS,log_q_liq,log_q_oil,log_q_gas,GLR,dT,delta_P
15/9-F-1 C,2014-07-28,458.0,68331.0,245.0,703.0,0.3485064011379801,149.1943231441048,44.642,59.252,108.183,47.60245,24.0,6.556778356158042,6.129050210060545,11.132133457066947,97.19914651493599,48.931000000000004,171.445
15/9-F-1 C,2014-07-29,482.0,71885.0,259.0,741.0,0.349527665317139,149.1390041493776,44.598,56.664,108.191,48.1316,24.0,6.60934924316738,6.180016653652572,11.182836809867954,97.01079622132254,51.527,171.368
15/9-F-1 C,2014-07-30,489.0,72278.0,243.0,732.0,0.3319672131147541,147.8077709611452,44.99,57.165,108.233,48.71677,24.0,6.597145701886651,6.194405391104672,11.188288909524681,98.74043715846994,51.068000000000005,169.636
15/9-F-1 C,2014-07-31,376.0,56055.0,218.0,594.0,0.367003367003367,149.08244680851064,43.247,58.959,108.22,48.71789,24.0,6.38856140554563,5.932245187448011,10.93410647005037,94.36868686868686,49.260999999999996,171.84500000000003
15/9-F-1 C,2014-08-01,378.0,56399.0,218.0,596.0,0.36577181208053694,149.2037037037037,43.671,59.044,108.221,48.72132,24.0,6.391917113392602,5.937536205082426,10.940224437486151,94.62919463087249,49.17700000000001,171.356
15/9-F-1 C,2014-08-02,379.0,56290.0,218.0,597.0,0.36515912897822445,148.52242744063324,43.139,58.063,108.217,48.70453,24.0,6.393590753950631,5.940171252720432,10.93828994344506,94.28810720268007,50.153999999999996,172.016
15/9-F-1 C,2014-08-03,377.0,56569.0,213.0,590.0,0.3610169491525424,150.0503978779841,43.251,57.608,108.217,48.69856,24.0,6.3818160174060985,5.934894195619588,10.943234088337201,95.87966101694916,50.609,171.879
15/9-F-1 C,2014-08-04,418.0,61912.0,228.0,646.0,0.35294117647058826,148.11483253588517,44.036,56.583,108.262,49.53814,24.0,6.472346294500901,6.037870919922137,11.033485452777471,95.83900928792569,51.679,168.859
15/9-F-1 C,2014-08-05,508.0,75078.0,262.0,770.0,0.34025974025974026,147.79133858267716,43.409,63.583,108.325,49.63278,24.0,6.647688373563329,6.2324480165505225,11.22629617148548,97.50389610389611,44.742000000000004,166.758
15/9-F-1 C,2014-08-06,470.0,69713.0,253.0,723.0,0.3499308437067773,148.32553191489362,42.617,62.685,108.321,49.59429,24.0,6.584791392385716,6.154858094016418,11.152156437410916,96.42185338865836,45.635999999999996,167.20600000000002
15/9-F-1 C,2014-08-07,521.0,77391.0,294.0,815.0,0.36073619631901843,148.54318618042225,41.051,60.702,108.307,50.19488,24.0,6.704414354964107,6.257667587882639,11.256638695062765,94.95828220858895,47.605000000000004,169.043
15/9-F-1 C,2014-08-08,518.0,76995.0,297.0,815.0,0.36441717791411044,148.63899613899613,40.365,62.56,108.297,50.21089,24.0,6.704414354964107,6.251903883165888,11.251508751434526,94.47239263803681,45.736999999999995,169.819
15/9-F-1 C,2014-08-09,493.0,73657.0,290.0,783.0,0.37037037037037035,149.4056795131846,40.148,58.14,108.283,49.9463,24.0,6.664409020350408,6.202535517187923,11.207188037852,94.07024265644955,50.143,170.397
15/9-F-1 C,2014-08-10,509.0,76002.0,303.0,812.0,0.3731527093596059,149.3163064833006,39.773,56.231,108.281,50.23923,24.0,6.70073110954781,6.234410725718371,11.238528092173613,93.59852216748769,52.050000000000004,170.858
15/9-F-1 C,2014-08-11,352.0,52975.0,241.0,593.0,0.40640809443507586,150.4971590909091,37.35,50.724,108.171,49.43711,24.0,6.386879319362645,5.8664680569332965,10.877594259787028,89.33389544688028,57.44700000000001,176.098
15/9-F-1 C,2014-08-12,287.0,44830.0,240.0,527.0,0.45540796963946867,156.20209059233449,37.094,44.267,108.138,48.82824,24.0,6.269096283706261,5.662960480135946,10.710655143391888,85.06641366223909,63.871,178.412
15/9-F-1 C,2014-08-13,279.0,44300.0,235.0,514.0,0.4571984435797665,158.78136200716847,37.892,50.89,108.159,48.57821,24.0,6.244166900663736,5.634789603169249,10.698762529141884,86.18677042801556,57.269000000000005,178.00300000000001
15/9-F-1 C,2014-08-14,297.0,47071.0,249.0,546.0,0.45604395604395603,158.4882154882155,38.832,56.831,108.189,48.49824,24.0,6.304448802421981,5.697093486505405,10.759433623401165,86.21062271062272,51.35799999999999,177.023
15/9-F-1 C,2014-08-15,297.0,46462.0,248.0,545.0,0.45504587155963305,156.43771043771045,39.543,57.329,108.204,48.4718,24.0,6.302618975744905,5.697093486505405,10.746411575914298,85.25137614678899,50.87499999999999,176.23399999999998
15/9-F-1 C,2014-08-16,296.0,44219.0,247.0,543.0,0.4548802946593002,149.38851351351352,39.366,52.846,108.202,48.47927,24.0,6.298949246855942,5.6937321388027,10.696932454411437,81.43462246777163,55.356,176.63600000000002
