actual,predicted_mean,predicted_std,CI_lower_2.5,CI_upper_97.5
179.487,179.96978666666658,1.536994073233709,177.669,182.302
198.726,199.5239699999997,3.8645070943696527,196.042,203.4507
167.854,167.28846666666684,2.94662293858957,164.077525,171.515
217.43699999999998,218.05854333333366,1.6336703160232662,217.298,224.812
184.59199999999998,184.5448966666665,1.3656488614045563,182.49200000000002,187.375
155.817,157.36916666666656,2.875035168287313,155.209,163.20009999999996
177.99400000000003,178.42019333333315,0.4664872587994471,177.6954,178.92372500000002
181.909,181.4533166666667,0.6294995602769672,180.25400000000002,182.49200000000005
184.399,183.86608000000012,2.3220335125919265,178.64,188.251
167.412,165.31609000000026,1.6866318928266446,163.023,169.06534999999997
180.291,182.2091600000005,3.4559529136067066,177.447,192.93184999999997
209.121,208.9608900000004,0.6874918650912659,207.434425,210.852
213.26299999999998,212.9044966666667,2.5297286303716975,210.253,213.552
152.72699999999998,153.21642333333267,2.2273113786481606,152.54199999999997,162.28967499999993
169.245,173.08022000000008,6.101429293064591,163.814175,188.764
232.086,231.78381666666718,0.5358902465886894,229.99200000000002,232.15299999999996
154.695,155.54229666666637,0.807166691988436,154.95332499999998,157.108
167.849,167.83647666666687,0.7953149498504105,165.897475,169.304925
205.765,205.67121999999964,0.3264440507447872,204.75799999999998,206.55599999999998
206.055,206.35029999999963,0.8659994207080429,205.808,208.112525
225.85,226.42154666666679,2.7620115799580187,222.882,233.644
154.874,154.9463666666667,0.2902266910920181,154.558,155.77
180.159,180.51328666666623,2.317779367804928,178.75697499999998,186.23107499999998
229.68099999999998,229.67445666666686,0.2782179866978773,229.08700000000002,230.18800000000002
152.58499999999998,153.10735666666667,1.8716901300132194,149.79962499999996,157.311725
223.439,222.54382000000004,2.280167746957819,216.81609999999998,223.68900000000002
187.96099999999998,191.7584033333331,5.949827821653525,183.607,205.556
196.603,198.2033733333336,1.4988884928357897,196.18800000000002,200.953
236.41000000000003,236.41975999999966,0.30831711337517553,235.361275,236.494
198.988,198.90195666666713,0.9565090946364445,196.07299999999998,199.76299999999998
167.28500000000003,167.1770433333333,2.793999823691642,164.331,174.33102499999976
224.70700000000002,222.9792033333333,2.1215097160565164,220.07215,226.226
152.42200000000003,154.93949000000012,7.017156753978066,135.391,168.387
204.485,204.36238666666628,0.6019275791063948,203.697,205.31269999999998
182.25300000000001,182.2444399999999,1.9973502396258243,182.11700000000002,182.59839999999997
197.131,197.14745666666659,2.357956434737975,194.987,201.716
176.97899999999998,181.77452999999997,4.86047203425415,177.242,192.878
176.863,177.15964999999966,1.1341921798501917,175.42700000000002,178.49935
164.915,165.1795966666669,1.290088878329274,164.0806,166.82045
226.992,227.34836666666664,1.490017292591674,224.41635,229.570725
179.62600000000003,179.9014933333335,1.4208447733498406,178.342,183.40999999999997
174.60999999999999,174.56531666666606,3.095507757442856,164.692,178.632
205.90800000000002,205.24615333333307,0.94609302387356,204.07,207.14905
200.568,201.0799866666664,0.5404653672119597,200.38099999999997,202.0187
223.586,223.65661333333304,1.149211876529109,221.034775,226.411
155.34,155.48501333333297,0.32599107322474946,154.268,156.049
175.604,175.90496333333343,1.648854514096243,175.30700000000002,180.93502499999994
238.27299999999997,237.95628999999997,0.450361276347478,236.42322500000003,238.57099999999997
230.491,230.37634999999995,0.1519275073842739,230.18800000000002,230.65300000000002
223.41600000000003,219.86426333333355,7.186525026788375,198.211,224.03500000000003
220.302,220.95738666666642,1.7572233619611985,216.834175,224.60999999999999
200.091,200.69928666666667,1.9042074268547766,198.25,204.71400000000003
155.099,155.4018666666665,0.44030745571197827,154.372,156.601
194.49699999999999,197.18078666666676,6.271561700870229,184.261675,205.556
