Date of Production,Wellbore name,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE,q_oil,q_gas,q_wat,q_liq,WC,GOR,GLR,ln_qliq,ln_qoil,ln_qgas,dT,choke_pct,delta_P_measured,cv_qliq,delta_P_baseline,residual,well_short
2016-05-04,15/9-F-14 H,24.0,270.836,99.645,239.375,22.145,43.08009,%,31.461,86.607,5.526,110.0,17548.0,2933.0,,production,OP,110.0,17548.0,2933.0,3043.0,0.9638514623726585,159.52727272727273,5.766677620768978,8.02059914989697,4.700480365792417,9.772695262286105,13.037999999999997,43.08009,239.375,0.01869127146592778,368.0799285181448,-128.7049285181448,F-14 H
2016-05-05,15/9-F-14 H,24.0,270.698,99.657,239.378,22.115,43.06768,%,31.32,86.096,5.539,111.0,17490.0,2947.0,,production,OP,111.0,17490.0,2947.0,3058.0,0.9637017658600392,157.56756756756758,5.719424460431655,8.025516386489008,4.709530201312334,9.769384568012647,13.560999999999993,43.06768,239.378,0.00871854397777203,369.08885298292967,-129.71085298292968,F-14 H
2016-05-06,15/9-F-14 H,24.0,270.689,99.665,239.379,22.236,43.03577,%,31.31,86.727,5.538,111.0,17468.0,2927.0,,production,OP,111.0,17468.0,2927.0,3038.0,0.9634628044766294,157.36936936936937,5.749835418038183,8.018954683155718,4.709530201312334,9.768125914605452,12.938000000000002,43.03577,239.37900000000002,0.008622483113633894,367.7397927290445,-128.36079272904448,F-14 H
2016-05-07,15/9-F-14 H,24.0,270.684,99.675,239.297,22.42,42.95842,%,31.387,88.012,5.592,111.0,17536.0,2921.0,,production,OP,111.0,17536.0,2921.0,3032.0,0.9633905013192612,157.981981981982,5.783641160949868,8.016977746762262,4.709530201312334,9.772011189747742,11.662999999999997,42.95842,239.29700000000003,0.0086210079750748,367.3023765232554,-128.0053765232554,F-14 H
2016-05-08,15/9-F-14 H,24.0,270.684,99.683,239.37,22.322,43.14234,%,31.314,85.767,5.492,110.0,17405.0,2910.0,,production,OP,110.0,17405.0,2910.0,3020.0,0.9635761589403974,158.22727272727272,5.763245033112582,8.013012110368916,4.700480365792417,9.764512800245539,13.916000000000011,43.14234,239.37000000000003,0.006421625550612763,366.5824544558773,-127.21245445587729,F-14 H
2016-05-09,15/9-F-14 H,24.0,270.628,99.692,239.369,22.371,43.09314,%,31.26,86.209,5.499,109.0,17226.0,2931.0,,production,OP,109.0,17226.0,2931.0,3040.0,0.9641447368421052,158.03669724770643,5.666447368421053,8.019612794400267,4.6913478822291435,9.75417514934912,13.48299999999999,43.09314,239.368,0.0039530412211245345,367.99691925263056,-128.62891925263057,F-14 H
2016-05-10,15/9-F-14 H,24.0,270.626,99.703,239.28,22.549,43.01633,%,31.346,88.167,5.571,108.0,17030.0,3883.0,,production,OP,108.0,17030.0,3883.0,3991.0,0.9729391130042596,157.6851851851852,4.267100977198697,8.291797105048733,4.68213122712422,9.742731773656734,11.536000000000001,43.01633,239.27999999999997,0.11346205575646003,439.61860219650634,-200.33860219650637,F-14 H
2016-05-11,15/9-F-14 H,24.0,270.711,99.712,239.259,22.595,43.29153,%,31.451,88.482,5.658,107.0,17023.0,2860.0,,production,OP,107.0,17023.0,2860.0,2967.0,0.9639366363329963,159.09345794392524,5.737445230872936,7.995306620290822,4.672828834461906,9.742320649814571,11.230000000000004,43.29153,239.26000000000002,0.11566157301048753,363.22592548172116,-123.96592548172114,F-14 H
2016-05-12,15/9-F-14 H,24.0,270.748,99.723,239.24,22.653,43.26442,%,31.508,88.602,5.709,106.0,16918.0,2860.0,,production,OP,106.0,16918.0,2860.0,2966.0,0.9642616318273769,159.60377358490567,5.70397842211733,7.994969522697877,4.663439094112067,9.73613342286396,11.120999999999995,43.26442,239.23999999999998,0.11805872374244812,363.2185157028318,-123.9785157028318,F-14 H
2016-05-13,15/9-F-14 H,24.0,270.792,99.734,239.251,22.459,43.19102,%,31.541,88.192,5.744,106.0,16787.0,2860.0,,production,OP,106.0,16787.0,2860.0,2966.0,0.9642616318273769,158.3679245283019,5.659811193526635,7.994969522697877,4.663439094112067,9.728360056322414,11.542000000000002,43.19102,239.25099999999998,0.11990989518345979,363.2704926409466,-124.01949264094662,F-14 H
